id,issuerCode,name,status,lastUpdate
1,VTT,Viettel,1,2017-05-30 11:38:18.0
2,VMS,Mobifone,1,2017-05-30 11:38:18.0
3,VNP,Vinaphone,1,2017-05-30 11:38:18.0
4,VNM,Vietnamobile,1,2017-05-30 11:38:18.0
5,GMB,GMobile,1,2017-05-30 11:38:18.0
6,VCOIN,Vcoin,1,2017-05-30 11:38:18.0
7,GATE,Gate,1,2017-05-30 11:38:18.0
8,ZING,Zing,1,2017-05-30 11:38:18.0
9,GARENA,Garena,1,2017-05-30 11:38:18.0
10,BIT,Bit,1,2017-05-30 11:38:18.0
11,MEGACARD,Megacard,1,2017-05-30 11:38:18.0
12,ONCASH,Oncash,1,2017-05-30 11:38:18.0
13,GATE_TOPUP,Gate_topup,1,2017-05-30 14:08:34.0
14,VMSDATA,VMSData,1,2017-07-18 10:42:14.0
15,VCARD,Vcard,1,2017-07-18 10:42:14.0
16,MTOP,MTOP,1,2017-09-29 05:04:54.0
17,ATM,ATM,1,2017-12-04 13:29:34.0
18,TRANSFER,TRANSFER,1,2017-12-04 13:29:34.0
19,CASHWITHDRAW,CASHWITHDRAW,1,2017-12-04 13:29:34.0
20,WITHDRAW,WITHDRAW,1,2017-12-04 13:29:34.0
105,DEFAULT_DEPOSIT,DefaultDeposit,1,
